Filename, Average interval, Maximum Interval, Minimum Interval, Repeated Notes
30EpochGen_0_1465317328123.ls, 4.428571, 14.0, 0.0, 1.0
30EpochGen_1_1465317328123.ls, 5.7272725, 17.0, 0.0, 2.0
30EpochGen_2_1465317328123.ls, 4.076923, 11.0, 0.0, 3.0
30EpochGen_3_1465317328123.ls, 3.3333333, 7.0, 0.0, 3.0
30EpochGen_4_1465317328123.ls, 4.6923075, 9.0, 0.0, 1.0
30EpochGen_5_1465317328123.ls, 5.6923075, 19.0, 0.0, 4.0
30EpochGen_6_1465317328123.ls, 5.5454545, 11.0, 2.0, 0.0
30EpochGen_7_1465317328123.ls, 3.6, 9.0, 0.0, 3.0
30EpochGen_8_1465317328123.ls, 3.0, 7.0, 0.0, 2.0
30EpochGen_9_1465317328123.ls, 3.25, 7.0, 0.0, 2.0
