Filename, Average interval, Maximum Interval, Minimum Interval, Repeated Notes
20EpochGen_0_1465316992608.ls, 3.25, 7.0, 0.0, 2.0
20EpochGen_1_1465316992608.ls, 5.076923, 16.0, 0.0, 2.0
20EpochGen_2_1465316992608.ls, 5.4615383, 11.0, 0.0, 2.0
20EpochGen_3_1465316992608.ls, 7.4666667, 17.0, 0.0, 1.0
20EpochGen_4_1465316992608.ls, 2.9166667, 7.0, 0.0, 2.0
20EpochGen_5_1465316992608.ls, 4.285714, 14.0, 0.0, 3.0
20EpochGen_6_1465316992608.ls, 4.0, 7.0, 0.0, 2.0
20EpochGen_7_1465316992608.ls, 2.3333333, 7.0, 0.0, 3.0
20EpochGen_8_1465316992608.ls, 4.6666665, 9.0, 0.0, 1.0
20EpochGen_9_1465316992608.ls, 2.4545455, 9.0, 0.0, 4.0
