Filename, Average interval, Maximum Interval, Minimum Interval, Repeated Notes
50EpochGen_0_1465317826833.ls, 1.7272727, 9.0, 0.0, 4.0
50EpochGen_1_1465317826833.ls, 4.3846154, 9.0, 0.0, 3.0
50EpochGen_2_1465317826833.ls, 4.090909, 9.0, 0.0, 2.0
50EpochGen_3_1465317826833.ls, 4.2, 9.0, 0.0, 1.0
50EpochGen_4_1465317826833.ls, 3.142857, 9.0, 0.0, 1.0
50EpochGen_5_1465317826833.ls, 2.0833333, 5.0, 0.0, 4.0
50EpochGen_6_1465317826833.ls, 4.1538463, 11.0, 0.0, 4.0
50EpochGen_7_1465317826833.ls, 3.0833333, 9.0, 0.0, 2.0
50EpochGen_8_1465317826833.ls, 3.5833333, 9.0, 0.0, 3.0
50EpochGen_9_1465317826833.ls, 3.5384614, 10.0, 0.0, 4.0
