Filename, Average interval, Maximum Interval, Minimum Interval, Repeated Notes
10EpochGen_0_1465316797634.ls, 7.6666665, 21.0, 0.0, 2.0
10EpochGen_1_1465316797634.ls, 5.0, 16.0, 0.0, 3.0
10EpochGen_2_1465316797634.ls, 6.0, 18.0, 0.0, 3.0
10EpochGen_3_1465316797634.ls, 9.916667, 23.0, 0.0, 1.0
10EpochGen_4_1465316797634.ls, 9.9, 19.0, 2.0, 0.0
10EpochGen_5_1465316797634.ls, 6.0, 15.0, 0.0, 2.0
10EpochGen_6_1465316797634.ls, 6.5, 16.0, 2.0, 0.0
10EpochGen_7_1465316797634.ls, 5.5833335, 17.0, 0.0, 3.0
10EpochGen_8_1465316797634.ls, 7.857143, 19.0, 0.0, 3.0
10EpochGen_9_1465316797634.ls, 7.923077, 15.0, 0.0, 1.0
